regime,n_maps,planner,success_rate,success_95_low,success_95_high,mean_exact_success_probability,paired_delta_vs_history_weight_4,history_delta_95_low,history_delta_95_high,paired_delta_vs_geometric,paired_95_low,paired_95_high,mean_path_length,trigger_activation_rate
critical,300,geometric,0.38,0.3269187519503734,0.4361155611435176,0.3922890235335193,-0.6,-0.6555297985628266,-0.5444702014371734,0.0,0.0,0.0,10.186666666666667,1.0
critical,300,static_marginal,0.38,0.3269187519503734,0.4361155611435176,0.3922890235335193,-0.6,-0.6555297985628266,-0.5444702014371734,0.0,0.0,0.0,10.186666666666667,1.0
critical,300,history_weight_4,0.98,0.9570603791821394,0.9908023684422963,0.9823941394837303,0.0,0.0,0.0,0.6,0.5444702014371734,0.6555297985628266,10.746666666666666,0.04
critical,300,hard_return_0.8,1.0,0.9873570287754538,0.9999999999999998,1.0,0.02,0.004131038266846368,0.03586896173315363,0.62,0.5649815792477322,0.6750184207522678,10.846666666666666,0.0
harmless,100,geometric,1.0,0.9630065017930143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31,1.0
harmless,100,static_marginal,1.0,0.9630065017930143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31,1.0
harmless,100,history_weight_4,1.0,0.9630065017930143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31,1.0
harmless,100,hard_return_0.8,1.0,0.9630065017930143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31,1.0
no_effect,100,geometric,1.0,0.9630065017930143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17,1.0
no_effect,100,static_marginal,1.0,0.9630065017930143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17,1.0
no_effect,100,history_weight_4,1.0,0.9630065017930143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17,1.0
no_effect,100,hard_return_0.8,1.0,0.9630065017930143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.17,1.0
all,500,geometric,0.628,0.5848089173303663,0.6692392515114762,0.6353734141201116,-0.36,-0.4021159921358523,-0.31788400786414767,0.0,0.0,0.0,10.208,1.0
all,500,static_marginal,0.628,0.5848089173303663,0.6692392515114762,0.6353734141201116,-0.36,-0.4021159921358523,-0.31788400786414767,0.0,0.0,0.0,10.208,1.0
all,500,history_weight_4,0.988,0.9740696388835527,0.9944890048259724,0.9894364836902382,0.0,0.0,0.0,0.36,0.31788400786414767,0.4021159921358523,10.544,0.424
all,500,hard_return_0.8,1.0,0.9923756595384479,1.0,1.0,0.012,0.0024462275337606386,0.021553772466239362,0.372,0.3295910919479842,0.4144089080520158,10.604,0.4
