index,seed,regime,width,height,start,goal,closure_cell,trigger,closure_probability,uniform_draw,rejected_candidates,path_length_geometric,activated_geometric,exact_success_geometric,success_geometric,path_length_static_marginal,activated_static_marginal,exact_success_static_marginal,success_static_marginal,path_length_history_weight_4,activated_history_weight_4,exact_success_history_weight_4,success_history_weight_4,path_length_hard_return_0.8,activated_hard_return_0.8,exact_success_hard_return_0.8,success_hard_return_0.8
0,20261024,no_effect,7,5,"(0, 0)","(6, 1)","(3, 2)","((6, 2), (6, 1))",0.0,0.047792586879638055,0,9,1,1.0,1,9,1,1.0,1,9,1,1.0,1,9,1,1.0,1
1,20261025,harmless,8,8,"(0, 3)","(7, 0)","(1, 3)","((7, 2), (7, 1))",0.34517899542373637,0.3757595277180603,1,16,1,1.0,1,16,1,1.0,1,16,1,1.0,1,16,1,1.0,1
2,20261026,critical,6,6,"(0, 3)","(5, 3)","(3, 2)","((5, 2), (5, 3))",0.86446199730863,0.03170890332963883,0,7,1,0.13553800269136995,0,7,1,0.13553800269136995,0,7,0,1.0,1,7,0,1.0,1
3,20261027,critical,7,5,"(0, 1)","(6, 4)","(3, 1)","((5, 2), (6, 2))",0.3501249714398562,0.3847813801029226,0,9,1,0.6498750285601438,1,9,1,0.6498750285601438,1,9,0,1.0,1,9,0,1.0,1
4,20261028,critical,6,6,"(0, 3)","(5, 4)","(3, 1)","((4, 1), (5, 1))",0.5957984946897412,0.44647923275756596,0,10,1,0.4042015053102588,0,10,1,0.4042015053102588,0,10,0,1.0,1,10,0,1.0,1
5,20261029,no_effect,9,6,"(0, 3)","(8, 2)","(4, 3)","((7, 3), (8, 3))",0.0,0.7450950642767116,0,9,1,1.0,1,9,1,1.0,1,9,1,1.0,1,9,1,1.0,1
6,20261030,harmless,7,7,"(0, 0)","(6, 5)","(1, 0)","((6, 4), (6, 5))",0.8423315099736699,0.2844633361222072,0,11,1,1.0,1,11,1,1.0,1,11,1,1.0,1,11,1,1.0,1
7,20261031,critical,8,6,"(0, 0)","(7, 4)","(4, 4)","((5, 4), (6, 4))",0.8172659267013329,0.1872833951122922,0,11,1,0.1827340732986671,0,11,1,0.1827340732986671,0,13,0,1.0,1,13,0,1.0,1
8,20261032,critical,7,5,"(0, 4)","(6, 1)","(3, 1)","((4, 1), (5, 1))",0.42828476521869907,0.5049706775525469,0,9,1,0.5717152347813009,1,9,1,0.5717152347813009,1,11,0,1.0,1,11,0,1.0,1
9,20261033,critical,9,5,"(0, 1)","(8, 2)","(4, 2)","((5, 2), (6, 2))",0.7922694781815187,0.9479330552449878,1,9,1,0.20773052181848128,1,9,1,0.20773052181848128,1,11,0,1.0,1,11,0,1.0,1
10,20261034,no_effect,6,7,"(0, 1)","(5, 1)","(3, 3)","((5, 3), (5, 2))",0.0,0.0210162897342836,0,9,1,1.0,1,9,1,1.0,1,9,1,1.0,1,9,1,1.0,1
11,20261035,harmless,8,6,"(0, 4)","(7, 4)","(1, 4)","((6, 3), (7, 3))",0.347709423828878,0.8441854414874971,0,13,1,1.0,1,13,1,1.0,1,13,1,1.0,1,13,1,1.0,1
12,20261036,critical,7,8,"(0, 0)","(6, 1)","(3, 5)","((5, 5), (6, 5))",0.5654204575229361,0.24870783322589418,0,15,1,0.4345795424770639,0,15,1,0.4345795424770639,0,15,0,1.0,1,15,0,1.0,1
13,20261037,critical,6,6,"(0, 2)","(5, 2)","(3, 2)","((4, 2), (5, 2))",0.6731699285143896,0.393659914280601,2,5,1,0.3268300714856104,0,5,1,0.3268300714856104,0,7,0,1.0,1,7,0,1.0,1
14,20261038,critical,8,6,"(0, 3)","(7, 1)","(4, 2)","((7, 2), (7, 1))",0.5899159121543183,0.19332336980586906,0,11,1,0.41008408784568173,0,11,1,0.41008408784568173,0,11,0,1.0,1,11,0,1.0,1
15,20261039,no_effect,7,7,"(0, 2)","(6, 6)","(3, 5)","((6, 5), (6, 6))",0.0,0.41507293059258177,0,10,1,1.0,1,10,1,1.0,1,10,1,1.0,1,10,1,1.0,1
16,20261040,harmless,6,8,"(0, 5)","(5, 0)","(4, 4)","((4, 4), (4, 3))",0.6937013049675799,0.34601275047048563,0,10,1,1.0,1,10,1,1.0,1,10,1,1.0,1,10,1,1.0,1
